"Country","ISO3","Year","Sex","AgeGroup","Indicator","StatisticalUnit","Value","Source","ICVACCategory","Dataset","Comments"
"Republic of Moldova","MDA",2019,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",18,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2020,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",9,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2021,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",17,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2022,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",14,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2015,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",10,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2016,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",10,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2017,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",6,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2018,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",26,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2019,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",25,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2020,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",31,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2021,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",36,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2022,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",34,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2015,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",64,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2016,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",34,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2017,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",30,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2018,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",32,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2019,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",24,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2020,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",31,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2021,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",25,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2022,"Total","3","Number of child victims of crime (0-17 years) registered by the police during the year","Number",31,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Hungary","HUN",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",101,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Hungary","HUN",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",80,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Hungary","HUN",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",88,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Hungary","HUN",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",42,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Poland","POL",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",509,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",846,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2336,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2156,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1766,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1698,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1586,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Slovenia","SVN",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",85,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",90,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",91,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",92,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",101,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",86,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",86,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",68,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",29,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",38,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",106,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",83,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",47,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",51,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",54,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Lithuania","LTU",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",31,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",28,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",42,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",34,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",34,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",19,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",24,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",25,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bulgaria","BGR",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",25,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",7,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",16,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",12,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",13,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",10,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",15,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",15,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Bosnia and Herzegovina","BIH",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",20,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",111,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",89,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",103,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",123,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",128,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",164,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",172,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Croatia","HRV",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",210,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",64,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",78,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",49,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",65,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",57,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",58,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",52,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Serbia","SRB",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",72,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"North Macedonia","MKD",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",21,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",16,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",14,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",6,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",25,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",18,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",9,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",21,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Republic of Moldova","MDA",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",14,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",14,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",11,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",12,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",30,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",40,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",42,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",53,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Georgia","GEO",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",45,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2015,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",85,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2016,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",30,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2017,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",41,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2018,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",31,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2019,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",24,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2020,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",32,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2021,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",29,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Kazakhstan","KAZ",2022,"Total","4","Number of child victims of crime (0-17 years) registered by the police during the year","Number",35,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Hungary","HUN",2015,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",172,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Hungary","HUN",2016,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",126,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Hungary","HUN",2017,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",99,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Hungary","HUN",2018,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",62,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","The data for 2018 refers only to the period from 1 January to 30 June."
"Poland","POL",2016,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",591,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2017,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",935,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2018,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",3025,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2019,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2539,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2020,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2067,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2021,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",2138,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Poland","POL",2022,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",1885,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME","Provisional data."
"Slovenia","SVN",2015,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",78,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
"Slovenia","SVN",2016,"Total","5","Number of child victims of crime (0-17 years) registered by the police during the year","Number",95,"TMEE Data Collection: 2023 Publication","Other acts of violence against a child not elsewhere classified","TMEE_JJ_CHLD_VICTIM_CRIME",NA
