"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","RelationshipPerpetrator","Source","Dataset","ICVACCategory"
"Iceland","ISL","Victims of intentional homicide",2018,1,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2018,80,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2018,3,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2018,23,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2018,21,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2018,2,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2018,5,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2018,9,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2018,1154,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2018,11,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2018,6,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Uzbekistan","UZB","Victims of intentional homicide",2018,111,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2019,31,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Azerbaijan","AZE","Victims of intentional homicide",2019,40,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2019,3,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Belarus","BLR","Victims of intentional homicide",2019,45,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2019,14,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2019,16,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2019,126,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2019,48,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2019,11,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2019,77,"Total","Total","Counts","Intimate partner or family member: Family member","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2019,8,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2019,17,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2019,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2019,73,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2019,7,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2019,24,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2019,24,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2019,3,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2019,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2019,5,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2019,17,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2019,1176,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2019,7,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2019,4,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Uzbekistan","UZB","Victims of intentional homicide",2019,89,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Armenia","ARM","Victims of intentional homicide",2020,0,"Total","Total","Counts","Intimate partner or family member: Family member","Covid-19","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2020,36,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Azerbaijan","AZE","Victims of intentional homicide",2020,56,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2020,6,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2020,17,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2020,15,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2020,155,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2020,57,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2020,75,"Total","Total","Counts","Intimate partner or family member: Family member","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2020,6,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2020,7,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2020,20,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2020,1,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2020,74,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2020,14,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2020,27,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Republic of Moldova","MDA","Victims of intentional homicide",2020,18,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2020,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2020,6,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2020,25,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2020,1083,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2020,14,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2020,3,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Tajikistan","TJK","Victims of intentional homicide",2020,2,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2021,29,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Azerbaijan","AZE","Victims of intentional homicide",2021,58,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2021,4,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2021,7,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2021,8,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2021,151,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2021,31,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2021,76,"Total","Total","Counts","Intimate partner or family member: Family member","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2021,11,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2021,14,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2021,22,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2021,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2021,70,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2021,11,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2021,25,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2021,4,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2021,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2021,2,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2021,16,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2021,945,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2021,10,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2021,3,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2021,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2022,46,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Bosnia and Herzegovina","BIH","Victims of intentional homicide",2022,11,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2022,9,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2022,28,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2022,113,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Spain","ESP","Victims of intentional homicide",2022,31,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2022,81,"Total","Total","Counts","Intimate partner or family member: Family member","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Greece","GRC","Victims of intentional homicide",2022,17,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Croatia","HRV","Victims of intentional homicide",2022,15,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2022,30,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Ireland","IRL","Victims of intentional homicide",2022,11,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2022,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Italy","ITA","Victims of intentional homicide",2022,74,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2022,17,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Latvia","LVA","Victims of intentional homicide",2022,31,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"North Macedonia","MKD","Victims of intentional homicide",2022,5,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2022,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Montenegro","MNE","Victims of intentional homicide",2022,2,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2022,21,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2022,3,"Total","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2022,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Holy See","VAT","Victims of intentional homicide",2022,0,"Total","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2010,9,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2010,6,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2010,0,"Male","Total","Counts","Intimate partner or family member: Family member","SDG/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2010,700,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2010,4,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2011,12,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2011,4,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2011,1,"Male","Total","Counts","Intimate partner or family member: Family member","SDG/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2011,645,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2011,2,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2012,9,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2012,6,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2012,0,"Male","Total","Counts","Intimate partner or family member: Family member","SDG/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2012,1,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2013,9,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2013,5,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2013,7,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2013,55,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2013,6,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2013,33,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2013,0,"Male","Total","Counts","Intimate partner or family member: Family member","SDG/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2013,5,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2013,15,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2013,2,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2013,2,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2014,2,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2014,4,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2014,6,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2014,68,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2014,8,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Hungary","HUN","Victims of intentional homicide",2014,53,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2014,0,"Male","Total","Counts","Intimate partner or family member: Family member","SDG/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2014,5,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2014,12,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2014,756,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2014,0,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2014,2,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Austria","AUT","Victims of intentional homicide",2015,4,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Belarus","BLR","Victims of intentional homicide",2015,41,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Switzerland","CHE","Victims of intentional homicide",2015,10,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Czechia","CZE","Victims of intentional homicide",2015,8,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Germany","DEU","Victims of intentional homicide",2015,59,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Finland","FIN","Victims of intentional homicide",2015,4,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"France","FRA","Victims of intentional homicide",2015,50,"Male","Total","Counts","Intimate partner or family member: Family member","CTS/MoI","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Iceland","ISL","Victims of intentional homicide",2015,0,"Male","Total","Counts","Intimate partner or family member: Family member","SDG/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Lithuania","LTU","Victims of intentional homicide",2015,11,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Malta","MLT","Victims of intentional homicide",2015,0,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Netherlands (Kingdom of the)","NLD","Victims of intentional homicide",2015,9,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Russian Federation","RUS","Victims of intentional homicide",2015,867,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovakia","SVK","Victims of intentional homicide",2015,0,"Male","Total","Counts","Intimate partner or family member: Family member","GSH 2023 Revision/CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Slovenia","SVN","Victims of intentional homicide",2015,2,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
"Albania","ALB","Victims of intentional homicide",2016,5,"Male","Total","Counts","Intimate partner or family member: Family member","CTS","UNODC-VICTIM-HOMICIDE","Violent killing of a child"
