"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","Comments","Reliability","WealthQuintile"
"Malta","MLT","Human trafficking  -  Total - Children","2011",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2011",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2007",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2008",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2015",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2008",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2009",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2008",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2015",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2015",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2007",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2009",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2010",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Other",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Other",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2010",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2019",NA,"Other",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2021",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2022",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2022",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2018",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2014",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2022",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2018",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2018",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2020",NA,"Other",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2017",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2017",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Malta","MLT","Human trafficking  -  Total - Children","2017",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2017",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2017",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2018",4.3,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","4.3",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2017",3.56,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.56",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2013",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2010",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2008",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2011",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2012",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2014",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2007",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2015",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2021",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2021",3.67,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.67",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2013",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2014",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2011",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2016",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2021",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2012",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2013",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2010",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2012",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2010",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2015",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2020",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2011",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2008",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2008",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2020",7.27,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","7.27",NA,NA
"Montenegro","MNE","Human trafficking  -  Total - Children","2020",8.42,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.42",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2008",4.78,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","4.78",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2007",5.61,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5.61",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2009",3.15,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.15",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2010",4.33,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","4.33",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2016",9.85,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","9.85",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2015",12.35,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","12.35",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2013",1.89,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.89",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2014",12.08,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","12.08",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",NA,"Other",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",NA,"Other",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2012",1.47,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.47",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2014",3.85,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.85",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2012",11.1,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","11.1",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2013",12.77,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","12.77",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2011",5.57,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5.57",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2012",6.4,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","6.4",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2009",5.77,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5.77",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2022",0.81,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.81",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2007",10.02,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","10.02",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2011",10.34,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","10.34",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2019",3.22,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.22",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2020",2.04,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","2.04",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2008",9.07,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","9.07",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2015",8.35,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.35",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2016",3.22,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.22",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2016",6.61,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","6.61",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2007",0.92,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.92",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2015",4.16,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","4.16",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2010",8.08,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.08",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2022",3.32,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.32",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",0.61,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.61",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2011",0.59,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.59",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",3,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2022",2.13,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","2.13",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2009",0.41,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.41",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2010",0.41,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.41",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2008",0.29,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.29",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2014",8.06,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.06",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2021",0.56,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.56",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2018",1.83,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.83",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2013",7.46,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","7.46",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",8.82,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.82",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",2.34,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","2.34",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2021",3.89,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.89",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2021",2.27,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","2.27",NA,NA
"Netherlands (Kingdom of the)","NLD","Human trafficking  -  Total - Children","2017",5.69,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5.69",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2013",1.69,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.69",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2014",3.2,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.2",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2012",5,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","5",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2009",6.24,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","6.24",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2007",3.55,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.55",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2011",4.21,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","4.21",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2008",8.53,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.53",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2016",1.59,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.59",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2008",8.38,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.38",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2015",3.73,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.73",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2007",4.92,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","4.92",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2008",8.68,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.68",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2012",4.52,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","4.52",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2013",1.56,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.56",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2018",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2011",3.67,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.67",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2014",3.12,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.12",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2020",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2016",1.64,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.64",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2009",8.81,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","8.81",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2019",NA,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2007",6.22,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","6.22",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2014",3.28,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.28",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2018",1.21,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","1.21",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2015",2.73,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","2.73",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2009",3.52,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","3.52",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2018",0.71,"Total",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena","0.71",NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2019",NA,"Male",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
"Norway","NOR","Human trafficking  -  Total - Children","2019",NA,"Female",NA,"Rate per 100,000 population","GLOTIP Database","UNODC_SDG_16.2.2","Composite phoenomena",NA,NA,NA
